user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url,search_term,geometry,state_name,census_region
x1423109525855420422,x1469035289951846404,2021-12-09T20:04:41Z,itsalexbabs,Getting my hot pink balenciaga sneakers finally yassss,Twitter for iPhone,54,NA,NA,NA,FALSE,FALSE,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,Boston,"Boston, MA",city,United States,US,"NA NA","NA NA",-71.191421 -70.986004 -70.986004 -71.191421 42.227797 42.227797 42.399542 42.399542,https://twitter.com/itsalexbabs/status/1469035289951846404,itsalexbromanreloadedthereup,"Boston, MA","You know what?
https://t.co/3gO7fZmeBW",https://t.co/BHebYTJy2Q,FALSE,394,303,0,6149,26827,2021-08-05T02:32:16Z,FALSE,https://t.co/BHebYTJy2Q,http://instagram.com/itsalexb,NA,NA,NA,http://pbs.twimg.com/profile_images/1423110521889464322/phG-qrW3_normal.jpg,sneakers,"c(-71.0887125, 42.3136695)",Massachusetts,Northeast
x53188051,x1469034655936495616,2021-12-09T20:02:09Z,johnnybabyyXO,"@atmos_usa My gf hates apologizing, but she did recently with a gift and a letter.(she’s not a sneakerhead, but she listened to when I said I’d like a pair of Nike waffles) this is the only time I’ve been gifted sneakers. She went above and beyond to say sorry. Sz 10 #atmoscollectorsclub https://t.co/iJvW2ihW2o",Twitter for iPhone,277,x1469019016622579715,x18949998,atmos_usa,FALSE,FALSE,0,0,NA,NA,atmoscollectorsclub,NA,NA,NA,NA,http://pbs.twimg.com/media/FGMPO6gVkAQ8sPK.jpg,https://t.co/iJvW2ihW2o,https://twitter.com/johnnybabyyXO/status/1469034655936495616/photo/1,photo,http://pbs.twimg.com/media/FGMPO6gVkAQ8sPK.jpg,https://t.co/iJvW2ihW2o,https://twitter.com/johnnybabyyXO/status/1469034655936495616/photo/1,NA,x18949998,atmos_usa,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/5a110d312052166f.json,San Francisco,"San Francisco, CA",city,United States,US,"NA NA","NA NA",-122.514926 -122.357031 -122.357031 -122.514926 37.708075 37.708075 37.833238 37.833238,https://twitter.com/johnnybabyyXO/status/1469034655936495616,Papi,"San Francisco/Modesto, Ca 🇲🇽",Late night organ donor. #888 BLM $johnnybabyyxo,https://t.co/vVaQlJX1o6,FALSE,2331,2007,19,95812,32029,2009-07-02T21:07:14Z,FALSE,https://t.co/vVaQlJX1o6,http://theweeknd.com,NA,https://pbs.twimg.com/profile_banners/53188051/1630680557,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1435041942635630594/17MyYC4u_normal.jpg,sneakers,"c(-122.4359785, 37.7706565)",California,West
x373135869,x1469030962831011840,2021-12-09T19:47:29Z,GardeckIan55,"Winters in Arizona ….           #sneakerhead #sneakers #cuffabove #wearableart #dodge #nikesbdunk #deadhead #greatefuldead #fashionsquaremall #dunks @ Scottsdale, Arizona https://t.co/oW8OLB97ZW",Instagram,194,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,sneakerhead sneakers cuffabove wearableart dodge nikesbdunk deadhead greatefuldead fashionsquaremall dunks,NA,instagram.com/p/CXRjzE5vFpR/…,https://t.co/oW8OLB97ZW,https://www.instagram.com/p/CXRjzE5vFpR/?utm_medium=twitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/0a0de7bd49ef942d.json,Scottsdale,"Scottsdale, AZ",city,United States,US,33.4931 -111.926,-111.926 33.4931,-111.960775 -111.756022 -111.756022 -111.960775 33.4358637 33.4358637 33.842816 33.842816,https://twitter.com/GardeckIan55/status/1469030962831011840,gardeckian_55,NA,NA,NA,FALSE,596,366,14,1900,647,2011-09-14T01:54:49Z,TRUE,NA,NA,NA,https://pbs.twimg.com/profile_banners/373135869/1544727101,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1073289366372376576/iJO6rHzO_normal.jpg,sneakers,"c(-111.926, 33.4931)",Arizona,West
x40382485,x1469023320037371904,2021-12-09T19:17:07Z,wilschaer,@atmos_usa never got sneakers for christmas so heres an empty box. also coincidentally pictured here is my atmos raffle entry winnings as well 🤣 #atmoscollectorsclub size 10 https://t.co/EIRhfacg3I,Twitter for iPhone,162,x1469019016622579715,x18949998,atmos_usa,FALSE,FALSE,1,0,NA,NA,atmoscollectorsclub,NA,NA,NA,NA,http://pbs.twimg.com/media/FGME6vWWQAo2EZH.jpg,https://t.co/EIRhfacg3I,https://twitter.com/wilschaer/status/1469023320037371904/photo/1,photo,http://pbs.twimg.com/media/FGME6vWWQAo2EZH.jpg,https://t.co/EIRhfacg3I,https://twitter.com/wilschaer/status/1469023320037371904/photo/1,NA,x18949998,atmos_usa,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/b49b3053b5c25bf5.json,Denver,"Denver, CO",city,United States,US,"NA NA","NA NA",-105.109815 -104.734372 -104.734372 -105.109815 39.614151 39.614151 39.812975 39.812975,https://twitter.com/wilschaer/status/1469023320037371904,Wil,"Denver, CO",KTBFFH,NA,FALSE,199,402,2,7604,591,2009-05-16T01:38:36Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/40382485/1586295510,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1254150719185334275/aQ1rKXzz_normal.jpg,sneakers,"c(-104.9220935, 39.713563)",Colorado,West
x3145652591,x1468965618078535682,2021-12-09T15:27:50Z,thatbitchhlex,Ngl I don’t even wanna look at my sneakers when I get home lol,Twitter for iPhone,62,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,Houston,"Houston, TX",city,United States,US,"NA NA","NA NA",-95.823268 -95.069705 -95.069705 -95.823268 29.522325 29.522325 30.1546646 30.1546646,https://twitter.com/thatbitchhlex/status/1468965618078535682,InnSaei,"Houston, TX",wasuppp baby take me out to dinner,https://t.co/M2B6WI98pV,FALSE,1074,119,1,17588,24856,2015-04-07T22:05:12Z,FALSE,https://t.co/M2B6WI98pV,https://onlyfans.com/thatbitchhlexi,NA,https://pbs.twimg.com/profile_banners/3145652591/1637985661,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1467380475736035328/JTGX_aYl_normal.jpg,sneakers,"c(-95.4464865, 29.8384948)",Texas,South
x3145652591,x1469017266528440330,2021-12-09T18:53:04Z,thatbitchhlex,I gotta stop wearing expensive sneakers out &amp; getting drunk. 🙃,Twitter for iPhone,66,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,Houston,"Houston, TX",city,United States,US,"NA NA","NA NA",-95.823268 -95.069705 -95.069705 -95.823268 29.522325 29.522325 30.1546646 30.1546646,https://twitter.com/thatbitchhlex/status/1469017266528440330,InnSaei,"Houston, TX",wasuppp baby take me out to dinner,https://t.co/M2B6WI98pV,FALSE,1074,119,1,17588,24856,2015-04-07T22:05:12Z,FALSE,https://t.co/M2B6WI98pV,https://onlyfans.com/thatbitchhlexi,NA,https://pbs.twimg.com/profile_banners/3145652591/1637985661,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1467380475736035328/JTGX_aYl_normal.jpg,sneakers,"c(-95.4464865, 29.8384948)",Texas,South
x79093806,x1469000818863095811,2021-12-09T17:47:42Z,rollinsw0llen,"Today's location #cforce @Reebok 
@chucknorris

#reebok #thursdayvibes #sneakers #chucknorris https://t.co/UJ3xyqG2N9",Twitter for Android,93,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,cforce reebok thursdayvibes sneakers chucknorris,NA,NA,NA,NA,http://pbs.twimg.com/ext_tw_video_thumb/1469000777033293842/pu/img/3sy41KZu4b3Fk8AM.jpg,https://t.co/UJ3xyqG2N9,https://twitter.com/rollinsw0llen/status/1469000818863095811/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/1469000777033293842/pu/img/3sy41KZu4b3Fk8AM.jpg,https://t.co/UJ3xyqG2N9,https://twitter.com/rollinsw0llen/status/1469000818863095811/video/1,NA,x21915474 x317234761,Reebok chucknorris,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/00470ece70935813.json,Navasota,"Navasota, TX",city,United States,US,"NA NA","NA NA",-96.1135358 -96.062869 -96.062869 -96.1135358 30.316961 30.316961 30.4151405 30.4151405,https://twitter.com/rollinsw0llen/status/1469000818863095811,Jesse James,"College Station, Texas",Actor | BassPlayer for 🎸 @hindsightrock | Twitch Affiliate | Epic Partner | Influencer | https://t.co/1Bt1CshrSG,https://t.co/cvk2uOdcTU,FALSE,4541,826,125,30430,19262,2009-10-02T04:27:05Z,FALSE,https://t.co/cvk2uOdcTU,http://www.imdb.me/jesse.james,NA,https://pbs.twimg.com/profile_banners/79093806/1636476453,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1462991333828833288/3QnyX2fo_normal.jpg,sneakers,"c(-96.0882024, 30.36605075)",Texas,South
x2932841544,x1468847943541088260,2021-12-09T07:40:14Z,mattpaulroberts,I know @sickpencil ain’t sleeping on the sneakers 👀,Twitter for iPhone,51,x1468837912494022656,x2932841544,mattpaulroberts,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x1110928715003772928,sickpencil,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/b71fac2ee9792cbe.json,Sacramento,"Sacramento, CA",city,United States,US,"NA NA","NA NA",-121.576613 -121.362715 -121.362715 -121.576613 38.43792 38.43792 38.6855236 38.6855236,https://twitter.com/mattpaulroberts/status/1468847943541088260,shmobshmarley.eth | CKC,"California, USA",creating something special with @coastalkongclub 💪 | anyone with @rumblekongs #wagmi 📈,https://t.co/oBjodNtaU1,FALSE,1333,816,7,3984,13622,2014-12-17T00:32:27Z,FALSE,https://t.co/oBjodNtaU1,http://www.coastalkongclub.com,NA,https://pbs.twimg.com/profile_banners/2932841544/1628042590,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1467963087898611712/JxXaB87M_normal.jpg,sneakers,"c(-121.469664, 38.5617218)",California,West
x2932841544,x1468763739721637888,2021-12-09T02:05:38Z,mattpaulroberts,"For any @RumbleKongs out there with REKD sneakers, been trying to grab some, looking in the .3-.4eth area. Let me know if you’re interested or someone you know is 🤝❤️ https://t.co/I8CVeRtGXI",Twitter for iPhone,166,NA,NA,NA,FALSE,FALSE,3,0,NA,NA,NA,NA,NA,NA,NA,http://pbs.twimg.com/media/FGIY1UhVEAEwbZV.jpg,https://t.co/I8CVeRtGXI,https://twitter.com/mattpaulroberts/status/1468763739721637888/photo/1,photo,http://pbs.twimg.com/media/FGIY1UhVEAEwbZV.jpg,https://t.co/I8CVeRtGXI,https://twitter.com/mattpaulroberts/status/1468763739721637888/photo/1,NA,x1406600642102235137,RumbleKongs,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/b71fac2ee9792cbe.json,Sacramento,"Sacramento, CA",city,United States,US,"NA NA","NA NA",-121.576613 -121.362715 -121.362715 -121.576613 38.43792 38.43792 38.6855236 38.6855236,https://twitter.com/mattpaulroberts/status/1468763739721637888,shmobshmarley.eth | CKC,"California, USA",creating something special with @coastalkongclub 💪 | anyone with @rumblekongs #wagmi 📈,https://t.co/oBjodNtaU1,FALSE,1333,816,7,3984,13622,2014-12-17T00:32:27Z,FALSE,https://t.co/oBjodNtaU1,http://www.coastalkongclub.com,NA,https://pbs.twimg.com/profile_banners/2932841544/1628042590,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1467963087898611712/JxXaB87M_normal.jpg,sneakers,"c(-121.469664, 38.5617218)",California,West
x2932841544,x1468837912494022656,2021-12-09T07:00:22Z,mattpaulroberts,"Been waiting a long time to snag the @RumbleKongs #REKD sneakers 👀

They remind me of the original @Nike Air Yeezy Red Octobers from @kanyewest 🔥

Now they’ll be worn by Kongye West &amp; other Kongs 💪

While the Kong floor rises, don’t forget about the sneakers 📈

#KongSZN 🏆 https://t.co/JObcvp3y8v",Twitter for iPhone,276,NA,NA,NA,FALSE,FALSE,8,0,NA,NA,REKD KongSZN,NA,NA,NA,NA,http://pbs.twimg.com/media/FGJcS_DVQAIAHOR.jpg,https://t.co/JObcvp3y8v,https://twitter.com/mattpaulroberts/status/1468837912494022656/photo/1,photo,http://pbs.twimg.com/media/FGJcS_DVQAIAHOR.jpg,https://t.co/JObcvp3y8v,https://twitter.com/mattpaulroberts/status/1468837912494022656/photo/1,NA,x1406600642102235137 x415859364 x169686021,RumbleKongs Nike kanyewest,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/b71fac2ee9792cbe.json,Sacramento,"Sacramento, CA",city,United States,US,"NA NA","NA NA",-121.576613 -121.362715 -121.362715 -121.576613 38.43792 38.43792 38.6855236 38.6855236,https://twitter.com/mattpaulroberts/status/1468837912494022656,shmobshmarley.eth | CKC,"California, USA",creating something special with @coastalkongclub 💪 | anyone with @rumblekongs #wagmi 📈,https://t.co/oBjodNtaU1,FALSE,1333,816,7,3984,13622,2014-12-17T00:32:27Z,FALSE,https://t.co/oBjodNtaU1,http://www.coastalkongclub.com,NA,https://pbs.twimg.com/profile_banners/2932841544/1628042590,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1467963087898611712/JxXaB87M_normal.jpg,sneakers,"c(-121.469664, 38.5617218)",California,West
x2932841544,x1468996442119311361,2021-12-09T17:30:19Z,mattpaulroberts,"I mean… someone had to right 🤷‍♂️

As @RumbleKongs floor flies past 2eth, the real ones are also sweeping the rising #RKL sneakers floor 🚀 https://t.co/6tgSPvxyN8",Twitter for iPhone,138,NA,NA,NA,FALSE,FALSE,6,1,NA,NA,RKL,NA,NA,NA,NA,http://pbs.twimg.com/media/FGLseq6VIAA9R38.jpg,https://t.co/6tgSPvxyN8,https://twitter.com/mattpaulroberts/status/1468996442119311361/photo/1,photo,http://pbs.twimg.com/media/FGLseq6VIAA9R38.jpg,https://t.co/6tgSPvxyN8,https://twitter.com/mattpaulroberts/status/1468996442119311361/photo/1,NA,x1406600642102235137,RumbleKongs,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/b71fac2ee9792cbe.json,Sacramento,"Sacramento, CA",city,United States,US,"NA NA","NA NA",-121.576613 -121.362715 -121.362715 -121.576613 38.43792 38.43792 38.6855236 38.6855236,https://twitter.com/mattpaulroberts/status/1468996442119311361,shmobshmarley.eth | CKC,"California, USA",creating something special with @coastalkongclub 💪 | anyone with @rumblekongs #wagmi 📈,https://t.co/oBjodNtaU1,FALSE,1333,816,7,3984,13622,2014-12-17T00:32:27Z,FALSE,https://t.co/oBjodNtaU1,http://www.coastalkongclub.com,NA,https://pbs.twimg.com/profile_banners/2932841544/1628042590,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1467963087898611712/JxXaB87M_normal.jpg,sneakers,"c(-121.469664, 38.5617218)",California,West
x3096787554,x1468995947678085123,2021-12-09T17:28:21Z,topfiveebs,New sneakers for me and my baby &gt; paying peoples bills :),Twitter for iPhone,60,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/3b05a9986be2419b.json,Doctor Phillips,"Doctor Phillips, FL",city,United States,US,"NA NA","NA NA",-81.508635 -81.474987 -81.474987 -81.508635 28.420712 28.420712 28.493573 28.493573,https://twitter.com/topfiveebs/status/1468995947678085123,🇩🇲,NA,NA,NA,FALSE,1011,940,0,60306,46736,2015-03-19T00:06:13Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/3096787554/1626286192,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1468705262366244869/pnhC1XU-_normal.jpg,sneakers,"c(-81.491811, 28.4571425)",Florida,South
x815119641391595520,x1468990880937824261,2021-12-09T17:08:13Z,jadahaaa,"I bought an outfit Incase I wanted to go to Elan tonight, but let my sneakers in Augusta 🙄",Twitter for iPhone,90,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/00e9226863a6e5a4.json,Savannah,"Savannah, GA",city,United States,US,"NA NA","NA NA",-81.188663 -81.03057 -81.03057 -81.188663 31.922596 31.922596 32.111973 32.111973,https://twitter.com/jadahaaa/status/1468990880937824261,Jadahaaa,"Augusta, GA",•SSU 🐅,NA,FALSE,848,807,0,26430,4849,2016-12-31T08:57:21Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/815119641391595520/1577149414,NA,http://pbs.twimg.com/profile_images/1446534942616391693/nT0crqV__normal.jpg,sneakers,"c(-81.1096165, 32.0172845)",Georgia,South
x188856276,x1468990482843906053,2021-12-09T17:06:38Z,FeticheBoutique,"Special Guest Dress ✨

The perfect wedding guest dress! Our Lana dress is our go to dress for almost any event! Dress up with heels or down with sneakers and a denim jacket! @ Simply Chic by Fetiche Boutique https://t.co/ghGeOZl55g",Instagram,231,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,instagram.com/p/CXRRYm1LFsY/…,https://t.co/ghGeOZl55g,https://www.instagram.com/p/CXRRYm1LFsY/?utm_medium=twitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/2b34df148a211c3e.json,Hattiesburg,"Hattiesburg, MS",city,United States,US,31.32809067 -89.37877512,-89.37877512 31.32809067,-89.427669 -89.248409 -89.248409 -89.427669 31.241189 31.241189 31.380085 31.380085,https://twitter.com/FeticheBoutique/status/1468990482843906053,simplychicbyfetiche,"Hattiesburg, MS","Simple, Chic, Classic Fashion",https://t.co/KYMaxMGWfm,FALSE,217,229,1,6770,2,2010-09-09T19:16:20Z,FALSE,https://t.co/KYMaxMGWfm,http://www.simplychic.boutique.com,NA,https://pbs.twimg.com/profile_banners/188856276/1594677441,http://abs.twimg.com/images/themes/theme17/bg.gif,http://pbs.twimg.com/profile_images/1282796278162874368/2jRyHMvL_normal.jpg,sneakers,"c(-89.37877512, 31.32809067)",Mississippi,South
x139911845,x1468987804319371279,2021-12-09T16:55:59Z,stanthraxx,"Wow you can get the real time updates on the price of clown shoes, because any pair of sneakers with this tag on it, by default, automatically becomes a pair of clown shoes https://t.co/lbbNxzmHkC",Twitter for iPhone,172,NA,NA,NA,TRUE,FALSE,12,0,NA,NA,NA,NA,twitter.com/nicekicks/stat…,https://t.co/lbbNxzmHkC,https://twitter.com/nicekicks/status/1468319419092844553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,x1468319419092844553,The latest way to flex on the non-Sneakerhead normies 😂🤑 @lanewinfield https://t.co/bKAxgM0rHF,2021-12-07T20:40:04Z,Twitter for iPhone,6675,979,x15097566,nicekicks,Nice Kicks,1153870,1436,177709,"Austin, TX",Sneakers. Culture. Community.,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/e148c35b55163567.json,Benton,"Benton, AR",city,United States,US,"NA NA","NA NA",-92.6515126 -92.514669 -92.514669 -92.6515126 34.53414 34.53414 34.6502335 34.6502335,https://twitter.com/stanthraxx/status/1468987804319371279,stan,"Little Rock, AR",🇸🇻 @terminalnation,NA,FALSE,1379,777,6,28352,68075,2010-05-04T01:27:31Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/139911845/1622863728,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1465172391793995779/gN4oMMCt_normal.jpg,sneakers,"c(-92.5830908, 34.59218675)",Arkansas,South
x3025999120,x1468984088728059907,2021-12-09T16:41:13Z,badgyalden,I just bought another pair of sneakers and that’s okay 😭,Twitter for iPhone,56,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,Boston,"Boston, MA",city,United States,US,"NA NA","NA NA",-71.191421 -70.986004 -70.986004 -71.191421 42.227797 42.227797 42.399542 42.399542,https://twitter.com/badgyalden/status/1468984088728059907,d.,"diorchester, bo$ton",hella sweet & hella mean. . here to talk shit | 💎,https://t.co/HFpANX4O9Y,FALSE,2878,411,14,212526,84071,2015-02-09T03:03:14Z,FALSE,https://t.co/HFpANX4O9Y,http://instagram.com/badgyaldeni,NA,https://pbs.twimg.com/profile_banners/3025999120/1638289630,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1444762048198496260/H2i8nmwF_normal.jpg,sneakers,"c(-71.0887125, 42.3136695)",Massachusetts,Northeast
x1101205219478777861,x1468968758878228499,2021-12-09T15:40:18Z,lwtxgolden28,So I didn’t know it snowed last night but I walked outside and was like wtf and now there’s ice everywhere so I’m trying not to fall in my sneakers,Twitter for iPhone,147,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/958003fe9e8c1af2.json,Bristol,"Bristol, RI",city,United States,US,"NA NA","NA NA",-71.295591 -71.235287 -71.235287 -71.295591 41.642203 41.642203 41.714836 41.714836,https://twitter.com/lwtxgolden28/status/1468968758878228499,mags | Xmas Mode 🎄🧣,NY•18•ot5•larrie•she/her,I’ve been close enough to touch but I never cared for love,NA,FALSE,183,477,0,1286,2334,2019-02-28T19:39:18Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1101205219478777861/1638387932,NA,http://pbs.twimg.com/profile_images/1467678692356902913/awVIofkV_normal.jpg,sneakers,"c(-71.265439, 41.6785195)",Rhode Island,Northeast
x50010512,x1468966695083528209,2021-12-09T15:32:06Z,DrKeezyWagz,I picked up my phone to buy some sneakers. My brother texted at the exact same time and told me to buy stocks. I bought the damn stocks. 😡,Twitter for iPhone,138,NA,NA,NA,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.twitter.com/1.1/geo/id/0077fb0e1e988ad3.json,Splendora,"Splendora, TX",city,United States,US,"NA NA","NA NA",-95.188477 -95.135688 -95.135688 -95.188477 30.2040617 30.2040617 30.2516358 30.2516358,https://twitter.com/DrKeezyWagz/status/1468966695083528209,Freckled Face Fuck Around and find out Doc,"Houston, TX ya digg",♏️Scorpio Misses.♏️ keezyskitchen on IG for food💜,NA,FALSE,744,477,13,150670,27643,2009-06-23T15:44:17Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/50010512/1626929616,http://abs.twimg.com/images/themes/theme10/bg.gif,http://pbs.twimg.com/profile_images/1329183288628572161/LkcZALLz_normal.jpg,sneakers,"c(-95.1620825, 30.22784875)",Texas,South
